"Date","Name","qb_l","qb_r","qb_t"
2019-05-10,"Isaiah Hartenstein",20,19,39
2019-05-10,"Gerald Green",31,35,66
2019-05-10,"Eric Gordon",25,21,46
2019-05-10,"Clint Capela",30,27,57
2019-05-06,"James Harden",26,26,52
2019-05-06,"Isaiah Hartenstein",28,25,53
2019-05-06,"Gerald Green",30,30,60
2019-05-06,"Eric Gordon",27,28,55
2019-05-06,"Clint Capela",27,28,55
2019-05-04,"James Harden",26,26,52
2019-05-04,"Gerald Green",29,31,60
2019-05-04,"Clint Capela",28,26,54
2019-04-30,"James Harden",24,23,47
2019-04-30,"Eric Gordon",28,26,54
2019-04-30,"Isaiah Hartenstein",23,15,38
2019-04-30,"Gary Clark",29,29,58
2019-04-30,"Clint Capela",28,24,52
2019-04-28,"Danuel House",29,29,58
2019-04-28,"James Harden",25,25,50
2019-04-28,"Eric Gordon",28,30,58
2019-04-28,"Isaiah Hartenstein",25,19,44
2019-04-28,"Gary Clark",28,29,57
2019-04-28,"Clint Capela",23,23,46
2019-04-24,"Gerald Green",28,26,54
2019-04-24,"Danuel House",29,28,57
2019-04-24,"Eric Gordon",27,28,55
2019-04-24,"Clint Capela",25,25,50
2019-04-22,"Danuel House",28,28,56
2019-04-22,"Isaiah Hartenstein",23,16,39
2019-04-22,"Gerald Green",29,31,60
2019-04-22,"Eric Gordon",29,29,58
2019-04-22,"Clint Capela",30,21,51
2019-04-22,"Gary Clark",29,29,58
2019-04-20,"Danuel House",27,29,56
2019-04-20,"Isaiah Hartenstein",23,19,42
2019-04-20,"Gerald Green",28,30,58
2019-04-20,"Eric Gordon",29,30,59
2019-04-20,"Clint Capela",27,24,51
2019-04-20,"Gary Clark",29,29,58
2019-04-14,"Gerald Green",27,28,55
2019-04-14,"Danuel House",26,27,53
2019-04-14,"Eric Gordon",28,30,58
2019-04-14,"Clint Capela",30,30,60
2019-04-07,"Gerald Green",23,31,54
2019-04-07,"Gary Clark",28,29,57
2019-04-07,"Clint Capela",32,24,56
2019-04-07,"Eric Gordon",26,28,54
2019-04-05,"Danuel House",27,30,57
2019-04-05,"Gary Clark",28,28,56
2019-04-05,"Eric Gordon",27,28,55
2019-04-05,"Clint Capela",32,26,58
2019-03-30,"Gary Clark",28,29,57
2019-03-30,"Danuel House",28,28,56
2019-03-30,"Eric Gordon",27,27,54
2019-03-22,"Danuel House",29,29,58
2019-03-22,"Gerald Green",29,33,62
2019-03-22,"Gary Clark",28,28,56
2019-03-22,"Eric Gordon",23,24,47
2019-03-22,"Clint Capela",32,27,59
2019-03-20,"Danuel House",28,29,57
2019-03-20,"Clint Capela",29,28,57
2019-03-20,"Gary Clark",31,31,62
2019-03-17,"Gary Clark",29,30,59
2019-03-17,"Danuel House",29,30,59
2019-03-17,"Eric Gordon",25,26,51
2019-03-17,"Clint Capela",32,30,62
2019-03-15,"Gary Clark",31,31,62
2019-03-15,"Danuel House",29,30,59
2019-03-15,"Eric Gordon",22,26,48
2019-03-15,"Clint Capela",28,25,53
2019-03-13,"Gary Clark",30,31,61
2019-03-13,"Danuel House",28,28,56
2019-03-13,"Gerald Green",28,31,59
2019-03-13,"Eric Gordon",27,28,55
2019-03-13,"Clint Capela",32,29,61
2019-03-08,"Gary Clark",29,29,58
2019-03-08,"Gerald Green",26,28,54
2019-03-08,"Clint Capela",33,27,60
2019-03-08,"Eric Gordon",26,25,51
2019-02-28,"Gary Clark",29,30,59
2019-02-28,"Gerald Green",27,30,57
2019-02-28,"Clint Capela",24,24,48
2019-02-27,"Gerald Green",23,29,52
2019-02-27,"Eric Gordon",24,24,48
2019-02-27,"Clint Capela",23,23,46
2019-02-27,"Gary Clark",29,29,58
2019-02-25,"Gerald Green",25,29,54
2019-02-25,"Gary Clark",29,28,57
2019-02-25,"Clint Capela",30,28,58
2019-02-25,"James Harden",27,26,53
2019-02-25,"Eric Gordon",23,26,49
2019-02-23,"Gerald Green",24,29,53
2019-02-23,"Gary Clark",29,29,58
2019-02-23,"Eric Gordon",26,26,52
2019-02-23,"Clint Capela",25,25,50
2019-02-21,"Gary Clark",24,26,50
2019-02-21,"Clint Capela",31,28,59
2019-02-11,"Gary Clark",29,29,58
2019-02-11,"Gerald Green",26,32,58
2019-02-11,"Isaiah Hartenstein",21,20,41
2019-02-11,"Eric Gordon",26,25,51
2019-02-02,"Isaiah Hartenstein",18,15,33
2019-02-02,"Eric Gordon",27,27,54
2019-02-02,"Gary Clark",30,30,60
2019-02-01,"Isaiah Hartenstein",20,19,39
2019-02-01,"PJ Tucker",25,25,50
2019-02-01,"Gerald Green",28,28,56
2019-02-01,"Eric Gordon",27,27,54
2019-02-01,"Gary Clark",30,30,60
2019-01-29,"PJ Tucker",24,24,48
2019-01-29,"Gary Clark",30,32,62
2019-01-29,"Gerald Green",22,27,49
2019-01-29,"Eric Gordon",24,26,50
2019-01-27,"Gerald Green",23,29,52
2019-01-27,"Eric Gordon",24,27,51
2019-01-27,"Gary Clark",29,29,58
2019-01-25,"James Harden",27,26,53
2019-01-25,"Gerald Green",22,28,50
2019-01-25,"Eric Gordon",27,28,55
2019-01-23,"Gerald Green",22,29,51
2019-01-23,"Eric Gordon",27,29,56
2019-01-23,"Gary Clark",30,30,60
2019-01-21,"Gerald Green",27,27,54
2019-01-21,"Eric Gordon",27,27,54
2019-01-21,"Gary Clark",29,30,59
2019-01-19,"Isaiah Hartenstein",22,19,41
2019-01-19,"Gary Clark",28,29,57
2019-01-19,"Gerald Green",25,29,54
2019-01-19,"Eric Gordon",28,27,55
2019-01-16,"Isaiah Hartenstein",18,18,36
2019-01-16,"Gary Clark",28,29,57
2019-01-16,"Gerald Green",26,28,54
2019-01-16,"Eric Gordon",28,NA,28
2019-01-14,"Isaiah Hartenstein",21,19,40
2019-01-14,"Gary Clark",28,29,57
2019-01-14,"Gerald Green",26,32,58
2019-01-14,"Danuel House",29,28,57
2019-01-11,"Danuel House",29,30,59
2019-01-11,"PJ Tucker",23,24,47
2019-01-11,"Gary Clark",27,27,54
2019-01-11,"Gerald Green",28,30,58
2019-01-11,"Clint Capela",25,24,49
2019-01-09,"Gary Clark",28,27,55
2019-01-09,"Danuel House",29,30,59
2019-01-09,"Gerald Green",23,29,52
2019-01-09,"Clint Capela",26,26,52
2019-01-07,"PJ Tucker",21,21,42
2019-01-07,"Gary Clark",28,28,56
2019-01-07,"Danuel House",29,29,58
2019-01-07,"Gerald Green",25,28,53
2019-01-07,"Clint Capela",28,27,55
2019-01-05,"Danuel House",30,30,60
2019-01-05,"James Harden",26,26,52
2019-01-05,"Gerald Green",27,29,56
2019-01-05,"Gary Clark",26,27,53
2019-01-05,"Clint Capela",24,23,47
2019-01-03,"Gary Clark",28,27,55
2019-01-03,"Gerald Green",25,28,53
2019-01-03,"PJ Tucker",25,28,53
2019-01-03,"Clint Capela",23,21,44
2018-12-31,"Gary Clark",26,27,53
2018-12-31,"Gerald Green",26,28,54
2018-12-31,"Danuel House",27,29,56
2018-12-31,"Clint Capela",26,27,53
2018-12-29,"Eric Gordon",27,26,53
2018-12-29,"Danuel House",30,30,60
2018-12-29,"Gary Clark",27,26,53
2018-12-29,"Gerald Green",29,29,58
2018-12-29,"PJ Tucker",26,26,52
2018-12-29,"Clint Capela",29,25,54
2018-12-27,"PJ Tucker",25,25,50
2018-12-27,"Gary Clark",28,25,53
2018-12-27,"Gerald Green",25,33,58
2018-12-27,"Danuel House",29,27,56
2018-12-27,"James Harden",27,27,54
2018-12-27,"Eric Gordon",23,25,48
2018-12-27,"Clint Capela",25,28,53
2018-12-25,"Gerald Green",30,33,63
2018-12-25,"Danuel House",28,28,56
2018-12-25,"Isaiah Hartenstein",20,19,39
2018-12-25,"Clint Capela",21,20,41
2018-12-22,"Eric Gordon",25,22,47
2018-12-22,"Danuel House",28,27,55
2018-12-22,"Gary Clark",27,27,54
2018-12-22,"Gerald Green",32,31,63
2018-12-22,"Clint Capela",21,23,44
2018-12-20,"Danuel House",30,28,58
2018-12-20,"Gerald Green",26,26,52
2018-12-20,"Gary Clark",27,27,54
2018-12-20,"Eric Gordon",26,28,54
2018-12-20,"Clint Capela",20,23,43
2018-12-19,"Isaiah Hartenstein",20,17,37
2018-12-19,"Gerald Green",31,31,62
2018-12-19,"Gary Clark",30,30,60
2018-12-19,"Eric Gordon",26,26,52
2018-12-19,"Danuel House",28,27,55
2018-12-19,"Clint Capela",22,23,45
2018-12-17,"Gary Clark",27,29,56
2018-12-17,"Eric Gordon",26,26,52
2018-12-17,"Danuel House",28,28,56
2018-12-17,"Clint Capela",27,27,54
2018-12-15,"PJ Tucker",25,24,49
2018-12-15,"James Harden",27,26,53
2018-12-15,"Isaiah Hartenstein",21,16,37
2018-12-15,"Gerald Green",22,31,53
2018-12-15,"Gary Clark",26,28,54
2018-12-15,"Eric Gordon",27,27,54
2018-12-15,"Danuel House",27,27,54
2018-12-15,"Clint Capela",19,21,40
2018-12-13,"Gerald Green",30,34,64
2018-12-13,"Eric Gordon",23,29,52
2018-12-13,"Danuel House",26,26,52
2018-12-13,"Clint Capela",25,21,46
2018-12-11,"Isaiah Hartenstein",19,20,39
2018-12-11,"Gerald Green",33,33,66
