"first_name","last_name","position","body_fat","hand_length","hand_width","weight","height_shoes","height_noshoes","standing_reach","wingspan","lane_shuttle_left","lane_shuttle_right","sprint_3_4_court","lane_agility","vertical_max","vertical_nostep","spot_up_shooting","side_mid_side_drill","mid_side_mid_drill","off_the_dribble_shooting","free_throws","x3_point_star_drill","mid_range_star_drill","testing_year"
" Jalen","Williams",3,"8.9",8.5,9.5,209.2,"6'5.75''","6'4.5''","8'9.5''","7'2.25''",3.171,3.303,3.11,11.13,39,33.5,"13/25","8/30","0/30","21/30","9/10","13/25","0/25",2022
" Peyton","Watson",3,"5.2",8.5,9.5,203.4,"6'8''","6'6.75''","8'11.5''","7'0.5''",3.242,3.318,3.28,11.03,33.5,28,NA,NA,NA,NA,NA,NA,NA,2022
" Julian","Champagnie",3,"7.1",8.75,9.25,212.4,"6'7.75''","6'6.25''","8'11''","6'10''",3.096,3.039,3.14,11.39,34.5,28.5,"19/25","14/30","0/30","17/30","10/10","16/25","0/25",2022
" Harrison","Ingram",3,"8.3",9,10,232.8,"6'7''","6'5.25''","8'7.5''","7'0.25''",3.26,3.279,3.31,11.83,35,29.5,"12/25","0/30","11/30","15/30","6/10","13/25","0/25",2022
" Jake","LaRavia",4,"9",8.5,10.25,227.2,"6'8''","6'6.75''","8'8''","6'9.5''",3.002,2.891,3.37,10.58,34,27.5,"14/25","15/30","0/30","21/30","7/10","17/25","0/25",2022
" Leonard","Miller",4,"5.7",9.25,10.5,211,"6'10''","6'8.5''","8'10.5''","7'2''",3.208,3.019,3.36,11.11,36.5,30,"10/25","0/30","9/30","15/30","9/10","0/25","14/25",2022
" Trevion","Williams",4,"10.8",9,10.25,264.6,"6'8.75''","6'7.25''","9'0.5''","7'2.75''",3.573,3.475,3.48,12.75,30,27.5,"7/25","6/30","0/30","14/30","7/10","11/25","0/25",2022
" E.J.","Liddell",4,"12.2",8.25,9.25,243,"6'7''","6'5.5''","8'7.5''","6'11.75''",3.235,3.54,3.26,11.11,38,35.5,NA,NA,NA,NA,NA,NA,NA,2022
" Ismael","Kamagate",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Josh","Minott",4,"4.7",8.5,9.25,197.2,"6'8.75''","6'7.5''","8'11.5''","6'11.75''",2.987,3.013,3.16,10.5,36.5,30,"13/25","14/30","0/30","21/30","8/10","12/25","0/25",2022
" Chet","Holmgren",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Keegan","Murray",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kenneth","Lofton",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Darius","Days",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Tari","Eason",4,"5.9",9.25,11,217.4,"6'8''","6'6.75''","8'11.5''","7'2''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Justin","Lewis",4,"7.3",9,10.5,235.4,"6'7.5''","6'6.25''","8'9.5''","7'2.5''",3.025,3.384,3.23,11.49,35,32.5,"19/25","13/30","0/30","17/30","9/10","9/25","0/25",2022
" Nikola","Jovic",4,"7.4",8.75,9.75,222.6,"6'11''","6'9.5''","9'0.5''","7'0.25''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Fanbo","Zeng",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Dominick","Barlow",4,"5.9",9,10.5,221,"6'9.75''","6'8.75''","9'0.5''","7'3''",3.195,3.185,3.33,11.3,34,28.5,"14/25","12/30","8/30","18/30","8/10","9/25","0/25",2022
" John","Butler",4,"4.7",8.5,8.75,174.4,"7'0.75''","6'11.75''","9'4''","7'2.25''",3.045,3.154,3.33,11.16,28.5,26.5,"15/25","8/30","0/30","15/30","10/10","15/25","0/25",2022
" Paolo","Banchero",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jeremy","Sochan",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Bryson","Williams",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jabari","Smith",4,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jabari","Walker",4,"12.1",8.75,9.75,213.8,"6'8''","6'6.75''","8'9''","6'10.75''",3.117,3.4,3.24,11.53,32.5,29.5,"15/25","10/30","0/30","14/30","6/10","11/25","0/25",2022
" David","Roddy",4,"11.6",8.75,10,260.8,"6'6''","6'4.5''","8'9''","6'11.5''",3.096,3.198,3.22,10.75,35.5,27,"13/25","17/30","0/30","18/30","9/10","13/25","0/25",2022
" Jaylin","Williams",4,"8",8.5,10.5,236.6,"6'10''","6'8.75''","9'0.5''","7'1''",3.102,3.288,3.5,11.64,30,24.5,"10/25","16/30","0/30","16/30","7/10","0/25","9/25",2022
" Walker","Kessler",5,"14.7",8.5,8.5,256,"7'1''","7'0.25''","9'5''","7'4.25''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Christian","Koloko",5,"5.7",9,10.75,221,"7'0''","6'10.75''","9'5''","7'5.25''",3.195,3.279,3.27,11.3,33.5,28,"9/25","0/30","0/30","15/30","8/10","16/25","0/25",2022
" Mark","Williams",5,"5.4",9,9.75,242.4,"7'2''","7'0''","9'9''","7'6.5''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Orlando","Robinson",5,"9.5",8.75,10,244.4,"6'11''","6'9.75''","9'3''","7'4''",3.436,3.232,3.55,11.4,27.5,23,"15/25","10/30","0/30","18/30","9/10","13/25","0/25",2022
" Michael","Foster Jr.",5,"6.2",8.75,10,236.6,"6'9.25''","6'7.75''","9'1.5''","7'0.25''",3.098,3.36,3.22,11.49,32.5,28,"15/25","10/30","0/30","20/30","10/10","14/25","0/25",2022
" Drew","Timme",5,"15.7",9,10,231.6,"6'9.25''","6'8.25''","8'11.5''","7'2''",3.455,3.311,3.38,11.71,31.5,25.5,"11/25","11/30","0/30","13/30","9/10","10/25","0/25",2022
" Khalifa","Diop",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Jalen","Duren",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Kofi","Cockburn",5,"8.2",9.75,10.25,293,"7'0''","6'11''","9'2.5''","7'4.25''",3.428,3.309,3.33,12.11,32.5,29.5,"7/25","0/30","8/30","14/30","6/10","0/25","14/25",2022
" Trayce","Jackson-Davis",5,"",NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
" Moussa","Diabate",5,"2.7",8.5,10.5,216.6,"6'10.25''","6'9.25''","9'1.5''","7'2.5''",2.913,2.9,3.26,11.16,36.5,29,"11/25","0/30","12/30","19/30","7/10","0/25","14/25",2022
